Date,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
9/24/1973,"Eagleville, California",Dunlap Aviation - Air Taxi,,"Bakersfield, CA - Long Beach, CA",Cessna 310,N3015C,N/A,2,2,0
9/25/1973,"Lincoln, Nebraska",Lisa Jet Inc. - Air Taxi,,"Lincoln, NB - Omaha, NB",Gates Lear 25,N40LB,N/A,3,3,0
9/27/1973,"Rich Mountain, Arkansas",Texas International Airlines,655,Memphis - El Dorado - Texarkana - Dallas,Convair 600,N94230,56,11,11,0
9/30/1973,"Miritituba, Brazil",Aeronorte,,N/A,Douglas DC-3A,PT-CEV,20182,9,9,0
9/30/1973,"Near Sverdlovsk, Russia",Aeroflot,,N/A,Tupolev TU-104B,CCCP-42506,21904,108,108,0
10/2/1973,"Magadan, Russia",Aeroflot,,N/A,Antonov AN-12V,CCCP-12967,9346502,10,10,0
10/4/1973,"Itaituba, PA, Brazil",Taxi Aéreo Cesar Aguiar,,N/A,Britten-Norman BN-2A-7 Islander,PT-DVN,259,8,8,0
10/23/1973,"Guanabara Bay, Brazil",VASP,,Rio de Janeiro - Belo Horizonte,NAMC YS-11A-211,PP-SMJ,2068,65,8,0
10/29/1973,Sainte Lucia Island,CATA,,N/A,Britten-Norman BN-2A-6 Islander,N37JA,210,4,4,0
10/31/1973,"La Verne, California",Jack N. Boswick - Air Taxi,,"La Verne, California - Willow Rock, Arizona",Cessna 401A,N6273Q,N/A,7,2,0
11/2/1973,"Villavicencio, Colombia",Lineas Aéreas La Urraca,,Arauca - Cucuta,Handley Page HPR-7 Herald 101,HK- 718,150,16,6,0
11/3/1973,"Near Albuquerque,  New Mexico",National Airlines,27,"Miami, FL - San Francisco, CA",McDonnell Douglas DC-10-10,N60NA,46700/14,128,1,0
11/3/1973,"Boston, Massachusett",Pan American World Airways,160,New York City - Prestwick,Boeing B-707-321C,N458PA,19368/640,3,3,0
11/17/1973,"Near Quang-Ngai, Vietnam",Air Vietnam (South Vietnam),,N/A,Douglas DC-3,XV-NIE,14910/26355,27,27,0
12/7/1973,"Moscow, Russia",Aeroflot,,N/A,Tupolev TU-104B,CCCP-42503,21901,72,13,0
12/9/1973,"Churchill Falls, Newfoundland, Canada",Churchill Falls Co.,,Montreal - Churchill Falls,de Havilland DH-125-400A,CF- CFL,NA741/25213,8,8,0
12/11/1973,"Sitkin Island, Alaska",Military - U.S. Navy,,Elmendorf AFB - Adak,Douglas DC-118,131615,43718/371,10,10,0
12/16/1973,"Near Vilnius, Lithuania",Aeroflot,,N/A,Tupolev TU-124,CCCP-45061,3351406,51,51,0
12/17/1973,"Rome, Italy",Pan American World Airways,110,Rome - Beirut,Boeing B-707-321B,N407PA,18838,177,30,0
12/18/1973,"Manhattan, Kansas",Capitol Air Service - Air Taxi,,"Norman, OK - Manhattan, KS",Cessna 310L,N3269X,N/A,2,2,0
12/21/1973,"Talara, Peru",TAM (Bolivia),,US - La Paz,Convair CV-440,TAM-47,444,9,6,0
12/21/1973,"Near Siagon, South Vietnam",Military - Vietnamese Air Force,,N/A,Boeing Vertol CH-47 (helilcopter),,N/A,20,20,0
12/22/1973,"Near Tetouan, Morocco",Sobelair SA (Belgium),,Paris - Tanger,Sud-Aviation Caravelle VI-N,OO-SRD,069/84,106,106,0
12/23/1973,"Lvov, Ukraine, USSR",Aeroflot,,N/A,Tupolev TU-124,CCCP-45004,350202,17,17,0
12/28/1973,"Durban, South Africa",Executive Funds,,N/A,Douglas DC-3,ZS-DAK,1498,25,1,0
1/1/1974,"Near Turin, Italy",Itavia,,Bologna - Torino,Fokker F-28 Fellowship 1000,I-TIDE,11015,42,38,0
1/6/1974,"Unduavi, Bolivia",Servicios Aéreos Boliviano,,San Borja - La Paz,Curtiss C-46F,CP-990,22490,4,4,0
1/6/1974,"Johnstown, Pennsylvania",Air East,,"Pittsburgh, PA - Johnstown, PA",Beechcraft 99A,N125AE,U-125,17,12,0
1/6/1974,"Mukachevo, Russia",Aeroflot,,N/A,Antonov AN-24V,CCCP-46357,77303405,24,24,0
1/9/1974,"Near Nevia, Colombia",Military - Colombian Air Force,,Florencia - Bogota,Hawker Siddeley HS 748-260,FAC-1103,1704,31,31,0
1/10/1974,"La Paz, Bolivia",TAM (Bolivia),,Santa Rose - La Paz,Douglas C-54,TAM-52,N/A,24,24,0
1/17/1974,"Cigerdu, Colombia",Cessnyca,,N/A,Douglas DC-3A,HK-1216,1905,14,14,0
1/25/1974,"Rostov, Russia",Aeroflot,,N/A,Antonov An-24B,CCCP-46277,77303610,4,4,0
1/25/1974,"Goldendale, Washington",Inland Aviation - Air Taxi,,"Ephrata, WA - Portland, OR",Cessna 172L,N7888G,N/A,2,2,0
1/26/1974,"Izmir, Turkey",Turkish Airlines (THY),,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAO,11057,73,66,0
1/27/1974,"S. Dominican Pueblo, New Mexico",Taos Airways - Air Taxi,,"Taos, NM - Albuquerque, NM",Beechcraft J-35,N633Q,N/A,3,3,0
1/28/1974,"Winger, Minnesota",Theif River Aviation - Air Taxi,,"Thief River, MN - Owatonna, MN",Piper PA-28,N5290S,N/A,4,4,0
1/30/1974,"Pago Pago, American Samoa",Pan American World Airways,806,Auckland - Pago Pago,Boeing B-707-321B,N454PA,19376/661,101,96,0
2/2/1974,"Near Honolulu, HI",Pan American World Airways,,"San Francisco, CA - Honolulu, HI - Agana, Guam",Boeing B-747,N732PA,19638/3,298,1,0
2/9/1974,"Near Souda, Crete",Military - West German Air Force,,N/A,Transall C-160D,50-63,N/A,40,35,0
2/10/1974,AtlantiOcean,North Cay Air - Air Taxi,,"St. Croix, VI - St. Thomas, VI",Brittonnorman BN-2A6,N864JA,N/A,2,2,0
2/22/1974,"Baltimore, Maryland",Delta Air Lines,523,Baltimore - Atlanta,MDonnell Dougals DC-9,,N/A,15,1,0
2/23/1974,"San Francisco de Moxos,  Bolivia",SAVCO,,N/A,Curtiss C-46A-45-CU,CP-1052,30195,7,7,0
2/28/1974,"Near Mehrabad, Iran",Military - Imperial Iranian Air Force,,N/A,Lockheed C-130E Hercules,5-122,4393,10,10,0
3/3/1974,"Near Ermenonville, France",Turkish Airlines (THY),981,Paris - London,McDonnell Douglas DC-10-10,TC-JAV,46704/29,346,346,0
3/8/1974,"Hanoi, Vietnam",Pathet Lao Airlines,,N/A,Antonov An-24,,N/A,18,18,0
3/11/1974,"Carson City, Nevada",Executive Air - Air Taxi,,"Carson City, NV - San Jose, CA",Robertson 414,N8118Q,N/A,4,4,0
3/13/1974,"Bishop, California",Sierra PacifiAirlines,802,Bishop - Burbank,Convair CV-440,N4819C,138,36,36,0
3/15/1974,"Tehran, Iran",Sterling Airways,,Tehran - Kobenhavn,Aerospatiale Caravelle 10B3,OY-STK,266,96,15,0
4/4/1974,"Francistown, Botswana",Wenela Air Services,,Francistown - Malawi,Douglas DC-4,A2-ZER,27242,84,78,0
4/11/1974,"Hilo Island, Hawaii",Island Air,,"Keahole, HI - Kahului, HI",Beechcraft H18S,N28358,N/A,11,11,0
4/22/1974,"Grogak, Bali, Indonesia",Pan American World Airways,812,"Hong Kong - Bali, Indonesia - Sydney, Austrailia",Boeing B-707-321C,N446PA,19268/544,107,107,0
4/24/1974,"Tashkent, Uzbekistan",Aeroflot,,N/A,Ilyushin IL-18E,CCCP-75405,186009005,115,1,0
4/27/1974,"Near Leningrad, Russia",Aeroflot,,N/A,Ilyushin IL-18B,CCCP-75559,184007703,118,118,0
4/30/1974,"Galveston, Texas",Houston Metro Airlines,,"Galveston, TX - Houston, TX",Beechcraft 99,N853SA,U-41,12,6,0
5/2/1974,"Banos, Ecuador",Aero Taxis Equatorianos,,Pastaza - Ambato,Douglas C-47,HC-AUC,N/A,24,22,0
5/6/1974,"Nurnberg, Germany",Fragtflug,,Nice - Nurnberg,Douglas DC-6A,TF-OAE,44069/396,3,3,0
5/23/1974,"Springfield, Illinois",Saturn Airways,,"Alameda, CA - Indianapolis, IN",Lockheed L-100-30 Hercules,N14ST,4225,3,3,0
5/23/1974,"Kiev, Ukraine, USSR",Aeroflot,,N/A,Yakovlev YAK-40,CCCP-87579,9221122,29,29,0
5/31/1974,"Rankin Inlet, Canada",Lambair,,N/A,Bristol 170 Freighter 31E,CF-QWJ,13078,2,2,0
6/8/1974,"Monte San Isidro,  Colombia",Aerolineas TAO,514,Bucaramanga - Cucuta,Vickers Viscount 785D,HK-1058,380,44,44,0
6/27/1974,"Battambang, Khmer Republic",Cambodia Air,1999,Battambang - Phnom Penh,Boeing 307B-1 Stratoliner,XW-TFR,1999,39,19,0
6/30/1974,"Umiat, Alaska",Alaska Helicopter - Air Taxi,,"Umiat, AK - Local",Fairchild Hiller FH1100,N8679,N/A,5,5,0
7/24/1974,"Bogota, Colombia",Aeronorte Colombia,,N/A,Douglas DC-4,HK-728,10507,3,3,0
7/27/1974,"Near MoHoa, Vietnam",Air Amercia,,Phnom Penh - Siagon,Fairchild C-123K,ST-4,20304,5,5,0
8/5/1974,"Mt. Apica, Canada",Laurentian Air Services,,LaTuque - St. Honore,Douglas DC-3,C-FTAT,11850,11,5,0
8/9/1974,"Diemas, Syria",Military - Canadian Air Force,,"Beirut, Lebanon  - Damascas, Syria",de Havilland Canada DHC-5 Buffalo,115461,N/A,9,9,0
8/11/1974,"Near Ouagadougou, Upper Volta",Air  Mali,,"Bamako, Mali - Kano, Nigeria",Ilyushin IL-18B,TZ-ABE,181003304,60,47,0
8/12/1974,"Cali, Colombia",AVIANCA,,Tumaco - Bogota,Douglas C-47-DL,HK-508,4527,27,27,0
8/13/1974,"Anaktuvuk, Alaska",MerriAviation - Air Taxi,,"Dietrich, AK - Happy Valley, AK",de Havilland DHC-2,N7620,N/A,4,4,0
8/14/1974,"Margarita Island, Venezuela",Linea Aeropostal Venezolana,,Cumana - Porlamar,Vickers Viscount 749,YV-C-AMX,95,49,48,0
8/18/1974,"Near La Paz, Bolivia",Military - U.S. Air Force,,"Howard AFB, Panama - La Paz, Bolivia",Lockheed C-141A,65-0274,300-6126,7,7,0
8/18/1974,"Near Kisangani, Zaire",Military - Zairean Air Force,,N/A,Lockheed C-130H,9T-TCD,4422,31,31,0
9/7/1974,"Tandjung-karang, Indonesia",Garuda Indonesia Airlines,,N/A,Fokker F-27 Friendship 600,PK-GFJ,10422,39,35,0
9/8/1974,"Ionian Sea , off Kefallinia, Greece",Trans World Airlines,841,Tel Aviv - Athens - Rome - New York,Boeing B-707-331B,N8734,20063/789,88,88,0
9/11/1974,"Near Charlotte, North Carolina",Eastern Air Lines,212,"Charleston, SC - Charlotte, NC - Chicago, IL",McDonnell Douglas DC-9-31,N8984E,47400/443,82,70,0
9/15/1974,"Phan Rang, Vietnam",Air Vietnam (South Vietnam),706,Da Nang - Saigon,Boeing B-727-121C,XV-NJC,19819,75,75,0
9/19/1974,"Riverside, California",Riverside Air,,"Las Vegas, NV - Riverside, CA",Piper PA-32,N15528,N/A,5,5,0
9/22/1974,"Fairbanks, Alaska",Frontier Flying Service - Air Taxi,,"Fairbanks, AK - Dietrich, AK",Cessna 185,N70026,N/A,2,2,0
10/1/1974,"Lupine, Alaska",Winship Air Service,,"Fairbanks, AK - Lupine, AK",Volpar 18,N357V,N/A,6,6,0
10/2/1974,"Off Saint Thomas, U.S. Virgin Islands",North Cay Airways,,Saint Croix - Saint Thomas,Britten-Norman BN-2A Islander,N864JA,175,2,2,0
10/9/1974,"Medfra, Alaska",Evergreen Helicopter - Air Taxi,,N/A,Bell 205A,N2970W,N/A,3,3,0
10/10/1974,"Cairo, Egypt",EgyptAir,,Training,Tupolev Tu-154,SU-AXB,73A-048,6,6,0
10/13/1974,Formosa Strait,Military - U.S. Air Force,,N/A,Lockheed WC-130H Hercules,65-0965,4106,6,6,0
10/17/1974,"Kassan, Alaska",Webber Airlines -Air Taxi,,"Kassan, AK - Coffman Cove, AK",de Havilland DHC-2,N129WA,N/A,8,5,0
10/19/1974,"Calapan, Philippines",Mabuhay Airways,,N/A,Douglas DC-3,RP-C643,15551/26996,8,1,0
10/22/1974,"Fort Apache, Arizona",Deming Flying Service - Air Taxi,,"Kingman, AZ - Deming, NM",Cessna 172M,N20673,N/A,2,2,0
10/24/1974,"Blair, Oklahoma",AltusFlying Service - Air Taxi,,"Dallas, TX - Altus, OK",Piper PA-31,N979L,N/A,4,2,0
10/24/1974,"Chicao, Illinois",Henry Nichols - Air Taxi,,"Indianapolis, IN - Chicago, Il",Cessna 337D,N2HN,N/A,3,2,0
11/9/1975,"Willow, Alaska",Willow Air Service - Air Taxi,,"Willow, AK - Local",Piper PA-18,N2580P,N/A,3,3,0
10/27/1974,"Old Man's Camp, Alaska",Alaska International Air,,Fairbanks - Bettles,Lockheed L-100 Hercules,N102AK,4234,4,4,0
10/28/1974,"Pagosa Springs, Colorado",Hlavka Aviation - Air Taxi,,"Gallup, NM - Rapid City, SD",Beechcraft 95-B55,N414K,N/A,2,2,0
10/30/1974,"Rae Point, Northwest Territories, Canada",Pan ArctiOil,416,N/A,Lockheed 188PF Electra,C-FPAB,1141,34,32,0
11/7/1974,"Off Sonderborg, Denmark",N/A,N/A,N/A,Britten-Norman BN-2A Islander,OY-DVJ,154,3,3,0
11/15/1974,"Hoonah, Alaska",Southeast Sky - Air Taxi,,"Juneau, AK - Tenakee, AK",de Havilland DHC-2,N97702Z,N/A,4,4,0
11/15/1974,"Manila, Philippines",Orient Air System and Integrated Services,,N/A,Douglas C-47A-30,RP-C570,25452/14007,8,1,0
11/20/1974,"Soddu, Ethiopia",Ethiopian Airlines,,Soddu - Beica,Douglas DC-3,ET-AAR,9465,24,2,0
11/20/1974,"Near Nairobi, Kenya",Lufthansa,540,Nairobi - Johannesburg,Boeing B-747-130,D-ABYB,19747/29,157,59,0
11/22/1974,"Barcelona, Spain",Alpa Servicios Aéreos,,N/A,Cessna 500 Citation I,EC-CGG,500-0108,4,4,0
12/1/1974,"Bear Mountain,  Thiells, New York",Northwest Orient Airlines,6231,"New York City, NY - Buffalo, NY",Boeing B-727-251,N274US,20296,3,3,0
12/1/1974,"Near Berryville, Virginia",Trans World Airlines,514,Columbus - Washington D.C.,Boeing B-727-231,N54328,20306/791,92,92,0
12/4/1974,"Near Maskeliya, Sri Lanka",Martinair Holland NV,,Surabaya - Jeddah,McDonnell Douglas DC-8-55F,PH-MHB,45818/242,191,191,0
12/11/1974,"Near Old Harbors, Alaska",Kodiak Airways,,"Old Harbor, AK - Kodiac, AK",Grumman G-21,N1583V,1125,5,5,0
12/12/1974,"Near MoHoa, South Vietnam",Military - Vietnamese Air Force,,N/A,Boeing Vertol CH-47 (helicopter),,N/A,54,54,0
12/14/1974,"Bukhara, Uzbekistan",Aeroflot,,N/A,Yakovlev 40,CCCP-87630,9131119,7,7,0
12/22/1974,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),358,N/A,McDonnell Douglas DC-9-14,YV-C-AVM,47056/89,77,77,0
12/26/1974,"Riverton Heights, Washingon",Harbor Airlines - Air Taxi,,"Riverton Heights, WA - Oak Harbor, OR",Brittonorman BN-2A,N66HA,N/A,6,4,0
12/29/1974,"Carpathian Mts., near Sibiu, Romania",Tarom,,N/A,Antonov AN-24RV,YR-AMD,27307606,33,33,0
1/3/1975,"Moscow, Russia",Aeroflot,,N/A,Tupolev TU-124,CCCP-45037,351002,61,61,0
1/3/1975,"Near Nha Trang, Vietnam",Air America,,Da Lat - Nha Trang,Fairchild C-123K,ST-1,20074,9,9,0
1/5/1975,"Palmer, Washington",Richland Flying Service - Air Taxii,,"Richland, WA  - Seattle, WA",Cessna TU206D,N71972,N/A,4,3,0
1/6/1975,"Sierra del Aconquija, Argentina",Military - Argentine Navy,,N/A,de Havilland Canada DHC-6 Twin Otter 200,AE-259,140,12,12,0
1/8/1975,"Near Doncello, Colombia",SATENA,,San Vicente del Caguan - Florencia,Douglas DC-3,FAC-688,N/A,21,21,0
1/9/1975,"Whittier, California",Golden West Airlines / Private,261,Ontario - Los Angeles,de Hav Can. DHC-6 Tw Otter 100/ Cessna,N6383,83,14,14,0
1/13/1975,"Juneau, Alaska",Channel Flying Service - Air Taxi,,"Juneau, AK - Return",de Havilland DHC-2,N1944,N/A,5,5,0
1/15/1975,"Budapest, Hunary",Malev Hungarian Airlines,,Berlin - Budapest,Ilyushin IL-18V,HA-MOH,184007104,9,9,0
1/16/1975,"Sam Neva, Laos",Aeroflot,,N/A,Antonov AN-12,,N/A,16,16,0
1/30/1975,"Istanbul, Turkey",Turkish Airlines (THY),,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAP,11058,42,42,0
1/30/1975,"Santo Domingo, Dominican Republic",Linea Aérea Nacional,,Santo Domingo - Port-au-Prince,Douglas DC-3-313,HI-222,2189,30,1,0
2/1/1975,"Valdez, Alaska",Kenai Air Service - Air Taxi,,"Kenai, AK - Gulkana, AK",Piper PA-31,N54734,N/A,2,2,0
2/1/1975,"Houston, Texas",Horizon Properties,,"Lawton, OK - Huntsville, TX",Douglas DC-3C,N15HC,43080,16,5,0
2/3/1975,"Manila, Philippines",Philippine Air Lines,,Manila - Iligan,Hawker Siddeley HS-748 2,RP-C1028,1590,33,32,0
2/9/1975,"Souda, Crete",Military - Deutsche Luftwaffe,,N/A,Transall C-160,5063,D-85,40,40,0
2/16/1975,"Fairbanks, Alaska",PacifiAlaska Airlines,,Fairbanks - Happy Valley Camp,Douglas DC-6BF,N77DG,43520/222,3,3,0
2/22/1975,"Medellin, Colombia",Aerocondor,,"Medellin, Colombia - Miami, Florida",Canadair CL-44,HK-1972,N/A,5,5,0
2/27/1975,"Near Sao Paulo, Brazil",VASP,,Sao Paulo - Bauru,Embraer 110C Bandeirante,PP-SBE,110021,15,15,0
3/5/1975,"Waterford, Wisconsin",Burlington Air - Air Taxi,,"Moline, IL - Racine IL",Beechcraft 95,N2061C,N/A,4,2,0
3/12/1975,"Pleiku, South Vietnam",Air Vietnam (South Vietnam),,N/A,Douglas DC-4,XV-NUJ,10701,26,26,0
3/16/1975,"Near Barito, Argentina",Military - Argentine Air Force,,El Palomar AB - San Carlos de Bariloche,Fokker F-27 Friendship 400M,TC-72,10404,55,55,0
3/18/1975,"Singa, Sudan",Sudan Airways,,N/A,de Havilland Canada DHC-6 Twin Otter 100,ST-ADB,85,6,5,0
3/20/1975,"Near Quilcene, Washington",Military - U.S. Air Force,,Clark AFB - Japan,Lockheed C-141A (L.300),64-0641,6054,16,16,0
4/4/1975,"Saigon, Vietnam",Military - U.S. Air Force,,Tan Son AFB - Clark AFB,Lockheed C-5A Galaxy,68-218,21,330,155,0
4/22/1975,"Goleta, California",Skips Air Service - Air Taxi,,"Fresno, CA - Santa Barbara, CA",Cessna 310Q,N7634Q,N/A,3,3,0
4/28/1975,"Deadhorse, Alaska",Gay Airways - Air Taxi,,"Anaktuvak, AK - Deadhorse, AK",Bell 206,N59521,N/A,4,2,0
5/3/1975,"Near Sardinata, Colombia",SATENA,,Ocana - Cucuta,Douglas DC-3,FAC- 663,N/A,6,3,0
5/10/1975,"Off Cape Paterson, Australia",Air Express,,N/A,Bristol 170 Freighter 21E,VH-SJQ,12807,2,2,0
5/12/1975,"Savoonga, Alaska",Foster Aviation,,"Savoonga, AK - Gambell, AK",Piper PA-23-250,N5067Y,27-2081,6,6,0
5/13/1975,"Near Sakon Nakhon, Thailand",Military - U.S. Air Force,,Nakhom Phanom AB - Utapao AB,Sikorsky CH-53C (helicopter),68-10933,N/A,23,23,0
6/3/1975,"Manila, Philippines",Philippine Air Lines,,Legaspi - Manilla,BAC One-Eleven 524FF,RP-C1184,190,64,1,0
6/17/1975,"Pedro Alfonso, Brazil",Varig,,N/A,Hawker Siddeley HS-748-235 Srs. 2A,PP-VDN,1625,15,1,3
6/24/1975,"JFK Airport, New York, New York",Eastern Air Lines,66,New Orleans - New York City,Boeing B-727-225,N8845E,20443/837,124,113,0
6/26/1975,"Toledo, Ohio",Hamilton Aviation,,"Detroit, MI - Peducah, KY",Beechcraft E18S,N791A,N/A,2,2,0
6/30/1975,"Near Saravena, Colombia",Taxi Aereo El Venado,,Cucuta - Tame,Douglas DC-4,HK-1309,10403,3,3,0
7/2/1975,"Nantes, France",Touraine Air Transport,,Nantes - Brest,Beechcraft 99,F-BTQE,U- 61,8,8,0
7/3/1975,"Near Colina, Chile",Military - Chilian Air Force,,N/A,Douglas C-47A,FAC-970,19730,10,10,0
7/10/1975,"Bogota, Colombia",Aerovias Condor,,Bogota  - Barranquilla,Lockheed L-188AF Electra,HK-1976,1087,4,2,0
7/10/1975,"Homer, Alaska",Homer Air Service - Air Taxi,,"Homer, AK - Local",Piper PA-18,N6817L,N/A,2,2,0
7/15/1975,"Poway, California",Oceanaire Helicopter - Air Taxi,,"Poway, CA - Pomona, CA",Bell 206B,N58137,N/A,4,4,0
7/15/1975,"Near Batumi, Georgia, USSR",Aeroflot,,N/A,Yakovlev YAK-40,CCCP-87475,9442037,41,41,0
7/26/1975,"Imlay City, Michigan",Military - U.S. Air Force,,Exercise,Lockheed C-130A Hercules,57-0454,3161,6,6,0
7/31/1975,"Taipei, Taiwan",Far Eastern Air Transport,134,Hualien - Taipei,Vickers 837 Viscount,B-2029,439,76,28,0
8/3/1975,"Near Immouzer, Morocco",Alia Royal Jordanian Airlines,,Paris - Agadir,Boeing B-707-321C,JY-AEE,18767/376,188,188,0
8/3/1975,"Off Amapala, Honduras",Military - Nicaraguan Air Force,,Veracruz - Managua,Douglas DC-47,412,N/A,20,20,0
8/7/1975,"Denver, Colorado",Continental Airlines,426,Denver - Wichita,Boeing B-727-224,N88777,19798/608,131,0,0
8/15/1975,"Krasnovodsk, USSR",Aeroflot,,N/A,Yakovlev YAK-40,CCCP-87323,9330230,28,28,0
8/20/1975,"Near Damascus, Syria",Ceskoslovenske Aerolinie,542,"Prague, Czechoslovakia - Damascus, Syria",Ilyushin IL-62,OK-DBF,31502,128,126,0
8/25/1975,"Minford, Ohio",Portsmouth Aviation - Air Taxi,,"Monticello, NY - Portsmoutn, OH",Piper PA-28,N44323,N/A,4,2,0
8/30/1975,"Off Punta Amapala, El Salvador",Military - Nicaraguan Air Force,,N/A,Douglas C-47,412,N/A,20,20,0
8/30/1975,"Near Gambell, Alaska",Wien Air Alaska,99,Nome - Gambell,Fairchild F-27B,N4904,21,32,10,0
9/1/1975,"Leipzig-Halle, East Germany",Interflug,,Stuttgart - Leipzig,Tupolev TU-134,DM-SCD,9350702,34,26,0
9/11/1975,"Near Bahar Dar, Ethiopia",Ethiopian Airlines,,Bahar Dar - Debra Marcos,Douglas C-47-DL,ET-ABX,4292,9,1,0
9/24/1975,"Near Palembang, Indonesia",Garuda Indonesia Airlines,150,Jakarta - Palembang,Fokker F-28 Fellowship 1000,PK-GVC,11039,61,25,1
9/30/1975,"Off Beirut, Lebanon",Malev Hungarian Airlines,,"Budapest - Beirut, Lebanon",Tupolev TU-154B,HA-LCI,53,60,60,0
9/30/1975,"Klua Tan Tan, Canada",Northern Thunderbird Air,,Prince George - Dease Lake,de Havilland Canada DHC-6 Twin Otter 200,CF-MHU,142,7,7,0
9/30/1975,"Barranquilla, Colombia",AVIANCA,,Bogota - Barranquilla,Boeing 727-24C,HK-1272,19525/439,4,4,0
10/23/1975,"Cairns Airport, Queensland, Australia",Connair,,Mount Isa - Cairns,de Havilland DH114 Heron 2E,VH-CLS,14067,11,11,0
10/26/1975,"Zephyr Cove, Nevada",Air Taxi,,"Las Vegas, NV - So. Lake Tahoe, CA",Piper PA-34,N1495X,N/A,2,2,0
10/27/1975,"Tomonoco, Bolivia",TAM (Bolivia),,Tomonoco - La Paz,Convair CV-440-12,TAM-44,328,67,67,0
10/30/1975,"Near Prague, Czechoslovakia",Inex Adria Aviopromet,,Tivat - Praha,McDonnell Douglas DC-9-32,YU-AJO,47457/620,120,75,0
11/3/1975,Gulf of Mexico,Petroleum Helicopter,,N/A,Bell 212,N90057,N/A,9,9,0
11/7/1975,"State College, Pennsylvania",Quakertown Aviation - Air Taxi,,"Latrobe, PA - State College, PA",NA Rockwell 112,N4QA,N/A,4,4,0
11/18/1975,"Caoba, Guatemala",Aviateca,,Uaxactun - Flores,Douglas DC-3,TG-AGA,6142,22,15,0
11/20/1975,"Kharkov, Ukraine, USSR",Aeroflot,27307905,N/A,Antonov AN-24,CCCP-46349,97305708,19,19,0
11/22/1975,Near Novgorod (Russia,Aeroflot,,N/A,Yakovlev 40,CCCP-87458,9431736,6,6,5
11/22/1975,"Sofia, Bulgaria",Balkan Bulgarian Airlines,,Sofia - Varna,Antonov AN-24B,LZ-ANA,67302707,48,3,0
11/25/1975,"Near Bir Lahfan, Egypt",Military - Israel  Air Force,,N/A,Lockheed C-130 Hercules,11,N/A,20,20,0
11/29/1975,"Hertfordshire, England",Private,,N/A,Piper PA-23-250 Aztec,N6645Y,27-3960,6,6,0
11/30/1975,"Elko, Nevada",SceniAirline - Air Taxi,,"Ely, NV - Elko, NV",Cessna 402,N52SA,N/A,2,2,0
12/21/1975,"Tacloban, Philippines",Philippine Aerotransport,,N/A,Britten-Norman BN-2A-21 Islander,RP-C2136,440,9,9,0
12/26/1975,"Rollinsville, Colorado",Star Aviation,,"Denver, CO - Grandby, CO",Mitsubishi MU-2B,N133MA,N/A,9,9,0
1/1/1976,"Near Al Qaysumah, Saudi Arabia",Middle East Airlines,438,Beirut - Dubai,Boeing B-720B-023B,OD-AFT,18020/165,82,82,0
1/3/1976,"Moscow, Russia",Aeroflot,,Moscow - Vnukovo,Tupolev TU-124,CCCP-45036,3351001,61,61,0
1/3/1976,"Anchorage, Alaska",Winship Air,,"Anchorage, AK - Deadhorse, AK",Lear Jet 24A,N651LJ,125,6,6,0
1/6/1976,"Grants, New Mexico",Orlando Airways - Air Taxi,,"Albuquerque, NM - Gallup, NM",Piper PA-23,N5258Y,N/A,4,4,0
1/8/1976,"Mactan Island, Philippines",Philippine Aerotransport,,N/A,Britten-Norman BN-2A-21 Islander,RP-C2135,439,7,7,0
1/15/1976,"Near Bogota, Colombia",Taxi Aereo el Venado,,Bogota - La Macarene,Douglas C-54A,HK-172,10280,13,13,0
1/15/1976,"Orofino, Idaho",Green Acres - Air Taxi,,"Butte, MT - Kooskia, ID",Bellanca 17-30,N7385V,N/A,3,3,0
1/18/1976,"Near San Borja, Bolivia",Frigorifico Maniqui,,N/A,Douglas C-47,CP- 573,4682,10,7,0
1/20/1976,"Near Loja, Ecuador",TAME,,Loja - Guayaquil,Hawker Siddeley HS-748-246,FAE-683,1683,42,34,0
1/21/1976,"Near Shanghai, China",CAAC,,Guangzhou - Changsha,Antonov AN-24,B-492,N/A,40,40,0
1/22/1976,"Chapeco, Brazil",Transbrasil,,N/A,Embraer 110C Bandeirante,PT-TBD,110011,11,9,0
1/30/1976,"Frunze, Kyrgyzstan",Aeroflot,,Training,Ilyushin IL-18V,CCCP-75558,184007505,6,6,0
2/3/1976,"Lafayette, Louisiana",Falcon Airways - Air Taxi,,"Lafayette, LA - Patterson, LA",Beechcraft  C-45H,N3329G,N/A,2,2,0
2/4/1976,"Off Santa Maria, Colombia",LAC Colombia,,Santa Maria - Curacao,Douglas DC-6A,HK-1389,43519/221,3,3,0
2/6/1976,"Madrid, Spain",Military - U.S. Air Force,,"Mildenhall, England - Torrejon AFB",Boeing KC-135A,60-0368,18143/482,7,7,0
9/2/1976,"Hawk Inlet, Alaska",Temsco Helicopter - Air Taxi,,N/A,Hughes 369HS,N9172F,N/A,4,3,0
2/8/1976,"Van Nuys, California",Mercer Airlines,,Burbank - Ontario,Douglas DC-6,N901MA,36326,6,3,0
2/9/1976,"Irkutsk, Russia",Aeroflot,,N/A,Tupolev TU-104A,CCCP-42327,66600201,24,24,0
